Flow at stations in Whatawhata catchment,,,
Site 3043449 Kiripaka at Crump Weir,,,
,,,
,,,
Date,Kiripaka,Mangaotama,Whakakai
12/24/1992,62.831,58.633, 
12/25/1992,64.154,58.126, 
12/26/1992,56.776,48.126, 
12/27/1992,56.405,47.549, 
12/28/1992,61.76,53.05, 
12/29/1992,139.014,82.381, 
12/30/1992,71.493,64.631, 
12/31/1992,54.859,48.828, 
1/01/1993,48.105,43.388, 
1/02/1993,45.295,41.593, 
1/03/1993,43.083,40.466, 
1/04/1993,41.759,37.759, 
1/05/1993,47.548,46.067, 
1/06/1993,41.532,37.021, 
1/07/1993,38.111,35.124, 
1/08/1993,37.344,34.108, 
1/09/1993,37.222,32.686, 
1/10/1993,36.753,32.142, 
1/11/1993,37.768,34.755, 
1/12/1993,47.318,40.229, 
1/13/1993,41.23,37.579, 
1/14/1993,42.526,36.422, 
1/15/1993,37.582,32.138, 
1/16/1993,34.827,29.6, 
1/17/1993,32.759,27.829, 
1/18/1993,31.33,26.651, 
1/19/1993,30.603,26.6, 
1/20/1993,29.101,24.511, 
1/21/1993,29.864,25.75, 
1/22/1993,30.343,27.45, 
1/23/1993,28.18,23.239, 
1/24/1993,27.945,23.106, 
1/25/1993,27.783,23.303, 
1/26/1993,31.461,30.521, 
1/27/1993,26.699,22.053, 
1/28/1993,26.416,21.207, 
1/29/1993,25.595,21.016, 
1/30/1993,27.801,26.339, 
1/31/1993,24.906,20.843, 
2/01/1993,34.071,38.677, 
2/02/1993,25.519,26.378, 
2/03/1993,19.769,20.897, 
2/04/1993,17.595,20.213, 
2/05/1993,20.984,25.885, 
2/06/1993,18.418,20.128, 
2/07/1993,17.501,18.94, 
2/08/1993,17.361,18.458, 
2/09/1993,16.666,18.175, 
2/10/1993,16.653,19.501, 
2/11/1993,16.227,18.511, 
2/12/1993,15.458,16.313, 
2/13/1993,15.613,16.444, 
2/14/1993,16.611,19.007, 
2/15/1993,16.911,18.675, 
2/16/1993,16.028,16.101, 
2/17/1993,15.497,15.34, 
2/18/1993,15.033,15.341, 
2/19/1993,129.416,33.255, 
2/20/1993,73.826,31.482, 
2/21/1993,38.675,18.171, 
2/22/1993,30.323,16.544, 
2/23/1993,92.983,42.584, 
2/24/1993,18.044,21.051, 
2/25/1993,21.782,18.919, 
2/26/1993,14.486,16.925, 
2/27/1993,15.458,15.883, 
2/28/1993,17.553,14.901, 
3/01/1993,17.359,15.115, 
3/02/1993,18.033,15.03, 
3/03/1993,21.635,16.565, 
3/04/1993,40.226,56.82, 
3/05/1993,22.011,26.448, 
3/06/1993,15.781,16.835, 
3/07/1993,14.617,15.382, 
3/08/1993,14.157,14.396, 
3/09/1993,14.507,14.256, 
3/10/1993,14.378,14.173, 
3/11/1993,14.17,14.52, 
3/12/1993,21.992,28.644, 
3/13/1993,16.748,19.473, 
3/14/1993,21.764,21.207, 
3/15/1993,16.85,16.175, 
3/16/1993,14.593,14.455, 
3/17/1993,14.036,14.195, 
3/18/1993,14.177,14.358, 
3/19/1993,13.938,13.391, 
3/20/1993,13.823,13.455, 
3/21/1993,15.936,18.058, 
3/22/1993,14.045,13.805, 
3/23/1993,13.823,12.664, 
3/24/1993,11.539,13.376, 
3/25/1993,11.76,13.438, 
3/26/1993,11.989,13.105, 
3/27/1993,11.87,12.408, 
3/28/1993,214.015,104.91, 
3/29/1993,249.543,186.336, 
3/30/1993,40.419,43.587, 
3/31/1993,190.296,160.209, 
4/01/1993,62.834,69.41, 
4/02/1993,33.162,34.219, 
4/03/1993,26.212,27.608, 
4/04/1993,23.272,25.931, 
4/05/1993,24.46,29.473, 
4/06/1993,21.271,22.433, 
4/07/1993,20.331,21.269, 
4/08/1993,21.343,22.499, 
4/09/1993,58.43,57.364, 
4/10/1993,40.537,38.777, 
4/11/1993,28.271,26.765, 
4/12/1993,23.96,23.449, 
